ID;site;region;origin;frequency_A;total_A;percentage_site_A;sites_A;percentage_in_all_A;rounded_A;frequency_B;total_B;percentage_site_B;sites_B;percentage_in_all_B;rounded_B;frequency_C;total_C;percentage_site_C;sites_C;percentage_in_all_C;rounded_C;frequency_D;total_D;percentage_site_D;sites_D;percentage_in_all_D;rounded_D;;frequency_all;total_all;percenage_site_all;sites_all;percentage_all_all;percentage_all_all_rounded
29;Ephesos;Aegean;North Africa;3.1;56.8;5.457746479;25;0.218309859;0.2;2.6;70.9666;3.663695316;29;0.126334321;0.1;0.1;4.2666;2.343786622;28;0.083706665;0.1;0.1;3.0166;3.314990387;22;0.150681381;0.2;;5.9;135.0498;4.368758784;35;0.12482168;0.1
30;Ephesos;Aegean;Iberian Peninsula;6;56.8;10.56338028;25;0.422535211;0.4;11.5666;70.9666;16.29865317;29;0.562022523;0.6;0.5666;4.2666;13.279895;28;0.474281964;0.5;0.5666;3.0166;18.78273553;22;0.853760706;0.9;;18.6998;135.0498;13.84659585;35;0.395617024;0.4
32;Ephesos;Aegean;Western Mediterranean;0;56.8;0;25;0;0;0;70.9666;0;29;0;0;0;4.2666;0;28;0;0;0;3.0166;0;22;0;0;;0;135.0498;0;35;0;0
33;Ephesos;Aegean;Eastern Mediterranean;5;56.8;8.802816901;25;0.352112676;0.4;6;70.9666;8.454681498;29;0.291540741;0.3;0.15;4.2666;3.515679932;28;0.125559998;0.1;0.15;3.0166;4.97248558;22;0.226022072;0.2;;11.3;135.0498;8.367283772;35;0.239065251;0.2
34;Ephesos;Aegean;unknown;0;56.8;0;25;0;0;0;70.9666;0;29;0;0;0;4.2666;0;28;0;0;0;3.0166;0;22;0;0;;0;135.0498;0;35;0;0
35;Ephesos;Aegean;Pontic Sea;0;56.8;0;25;0;0;0.4;70.9666;0.563645433;29;0.019436049;0;0.4;4.2666;9.375146487;28;0.33482666;0.3;1.65;3.0166;54.69734138;22;2.48624279;2.5;;2.45;135.0498;1.814145597;35;0.051832731;0.1
36;Ephesos;Aegean;Egypt;0.5;56.8;0.88028169;25;0.035211268;0;2.6;70.9666;3.663695316;29;0.126334321;0.1;0.1;4.2666;2.343786622;28;0.083706665;0.1;0.1;3.0166;3.314990387;22;0.150681381;0.2;;3.3;135.0498;2.443543049;35;0.069815516;0.1
37;Ephesos;Aegean;Gallia;0;56.8;0;25;0;0;0.1;70.9666;0.140911358;29;0.004859012;0;0.1;4.2666;2.343786622;28;0.083706665;0.1;0.1;3.0166;3.314990387;22;0.150681381;0.2;;0.3;135.0498;0.222140277;35;0.006346865;0
38;Ephesos;Aegean;Adria;0;56.8;0;25;0;0;0;70.9666;0;29;0;0;0;4.2666;0;28;0;0;0;3.0166;0;22;0;0;;0;135.0498;0;35;0;0
39;Baelo Claudia;Baetica;Italy;16;51.5;31.06796117;25;1.242718447;1.2;15;35.5;42.25352113;29;1.45701797;1.5;1;3;33.33333333;28;1.19047619;1.2;0.2;0.7;28.57142857;22;1.298701299;1.3;;32.2;90.7;35.5016538;35;1.014332966;1
41;Baelo Claudia;Baetica;Tarraconensis;0;51.5;0;25;0;0;0;35.5;0;29;0;0;0;3;0;28;0;0;0;0.7;0;22;0;0;;0;90.7;0;35;0;0
42;Baelo Claudia;Baetica;North Africa;0;51.5;0;25;0;0;0;35.5;0;29;0;0;0;3;0;28;0;0;0;0.7;0;22;0;0;;0;90.7;0;35;0;0
43;Baelo Claudia;Baetica;Iberian Peninsula;0;51.5;0;25;0;0;0;35.5;0;29;0;0;0;3;0;28;0;0;0;0.7;0;22;0;0;;0;90.7;0;35;0;0
44;Baelo Claudia;Baetica;Aegean;0;51.5;0;25;0;0;0;35.5;0;29;0;0;0;3;0;28;0;0;0;0.7;0;22;0;0;;0;90.7;0;35;0;0
45;Baelo Claudia;Baetica;Western Mediterranean;24.5;51.5;47.57281553;25;1.902912621;1.9;13.5;35.5;38.02816901;29;1.311316173;1.3;2;3;66.66666667;28;2.380952381;2.4;0;0.7;0;22;0;0;;40;90.7;44.1014333;35;1.260040951;1.3
46;Baelo Claudia;Baetica;Eastern Mediterranean;0;51.5;0;25;0;0;0;35.5;0;29;0;0;0;3;0;28;0;0;0;0.7;0;22;0;0;;0;90.7;0;35;0;0
47;Baelo Claudia;Baetica;unknown;11;51.5;21.3592233;25;0.854368932;0.9;7;35.5;19.71830986;29;0.679941719;0.7;0;3;0;28;0;0;0.5;0.7;71.42857143;22;3.246753247;3.2;;18.5;90.7;20.3969129;35;0.58276894;0.6
48;Baelo Claudia;Baetica;Pontic Sea;0;51.5;0;25;0;0;0;35.5;0;29;0;0;0;3;0;28;0;0;0;0.7;0;22;0;0;;0;90.7;0;35;0;0
49;Baelo Claudia;Baetica;Egypt;0;51.5;0;25;0;0;0;35.5;0;29;0;0;0;3;0;28;0;0;0;0.7;0;22;0;0;;0;90.7;0;35;0;0
50;Baelo Claudia;Baetica;Gallia;0;51.5;0;25;0;0;0;35.5;0;29;0;0;0;3;0;28;0;0;0;0.7;0;22;0;0;;0;90.7;0;35;0;0
51;Baelo Claudia;Baetica;Adria;0;51.5;0;25;0;0;0;35.5;0;29;0;0;0;3;0;28;0;0;0;0.7;0;22;0;0;;0;90.7;0;35;0;0
52;Valencia;Baetica;Italy;0.5;7.5;6.666666667;25;0.266666667;0.3;0;0;0;29;0;0;0;0;0;28;0;0;0;0;0;22;0;0;;0.5;7.5;6.666666667;35;0.19047619;0.2
54;Valencia;Baetica;Tarraconensis;4;7.5;53.33333333;25;2.133333333;2.1;0;0;0;29;0;0;0;0;0;28;0;0;0;0;0;22;0;0;;4;7.5;53.33333333;35;1.523809524;1.5
55;Valencia;Baetica;North Africa;2.5;7.5;33.33333333;25;1.333333333;1.3;0;0;0;29;0;0;0;0;0;28;0;0;0;0;0;22;0;0;;2.5;7.5;33.33333333;35;0.952380952;1
56;Valencia;Baetica;Iberian Peninsula;0;7.5;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;0;0;22;0;0;;0;7.5;0;35;0;0
57;Valencia;Baetica;Aegean;0;7.5;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;0;0;22;0;0;;0;7.5;0;35;0;0
58;Valencia;Baetica;Western Mediterranean;0;7.5;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;0;0;22;0;0;;0;7.5;0;35;0;0
59;Valencia;Baetica;Eastern Mediterranean;0.5;7.5;6.666666667;25;0.266666667;0.3;0;0;0;29;0;0;0;0;0;28;0;0;0;0;0;22;0;0;;0.5;7.5;6.666666667;35;0.19047619;0.2
60;Valencia;Baetica;unknown;0;7.5;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;0;0;22;0;0;;0;7.5;0;35;0;0
61;Valencia;Baetica;Pontic Sea;0;7.5;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;0;0;22;0;0;;0;7.5;0;35;0;0
62;Valencia;Baetica;Egypt;0;7.5;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;0;0;22;0;0;;0;7.5;0;35;0;0
63;Valencia;Baetica;Gallia;0;7.5;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;0;0;22;0;0;;0;7.5;0;35;0;0
64;Valencia;Baetica;Adria;0;7.5;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;0;0;22;0;0;;0;7.5;0;35;0;0
65;Berytus;Eastern Mediterranean;Italy;0;0;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;45;0;22;0;0;;0;45;0;35;0;0
66;Berytus;Eastern Mediterranean;Baetica;0;0;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;45;0;22;0;0;;0;45;0;35;0;0
67;Berytus;Eastern Mediterranean;Tarraconensis;0;0;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;45;0;22;0;0;;0;45;0;35;0;0
68;Berytus;Eastern Mediterranean;North Africa;0;0;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;1;45;2.222222222;22;0.101010101;0.1;;1;45;2.222222222;35;0.063492063;0.1
69;Berytus;Eastern Mediterranean;Iberian Peninsula;0;0;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;45;0;22;0;0;;0;45;0;35;0;0
70;Berytus;Eastern Mediterranean;Aegean;0;0;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;10;45;22.22222222;22;1.01010101;1;;10;45;22.22222222;35;0.634920635;0.6
71;Berytus;Eastern Mediterranean;Western Mediterranean;0;0;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;9;45;20;22;0.909090909;0.9;;9;45;20;35;0.571428571;0.6
73;Berytus;Eastern Mediterranean;unknown;0;0;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;25;45;55.55555556;22;2.525252525;2.5;;25;45;55.55555556;35;1.587301587;1.6
74;Berytus;Eastern Mediterranean;Pontic Sea;0;0;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;45;0;22;0;0;;0;45;0;35;0;0
75;Berytus;Eastern Mediterranean;Egypt;0;0;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;45;0;22;0;0;;0;45;0;35;0;0
