ID;site;region;origin;frequency_A;total_A;percentage_site_A;sites_A;percentage_in_all_A;frequency_B;total_B;percentage_site_B;sites_B;percentage_in_all_B;frequency_C;total_C;percentage_site_C;sites_C;percentage_in_all_C;frequency_D;total_D;percentage_site_D;sites_D;percentage_in_all_D
320;Padova;Italy;unknown;1.8333;51.6665;3.548334027;25;0.141933361;0.8333;98.6665;0.844562237;29;0.029122836;1.3333;54.6665;2.438970851;28;0.087106102;0;0;0;22;0
321;Padova;Italy;Pontic Sea;0;51.6665;0;25;0;0;98.6665;0;29;0;0;54.6665;0;28;0;0;0;0;22;0
322;Padova;Italy;Egypt;0;51.6665;0;25;0;0;98.6665;0;29;0;0;54.6665;0;28;0;0;0;0;22;0
323;Padova;Italy;Gallia;0;51.6665;0;25;0;0;98.6665;0;29;0;0;54.6665;0;28;0;0;0;0;22;0
324;Padova;Italy;Adria;48.1666;51.6665;93.22597815;25;3.729039126;56.1666;98.6665;56.92570427;29;1.96295532;51.6666;54.6665;94.51236132;28;3.375441476;0;0;0;22;0
326;Pompeii;Italy;Baetica;0;62.1798;0;25;0;0;39.2798;0;29;0;0;36.5798;0;28;0;0;0;0;22;0
327;Pompeii;Italy;Tarraconensis;0;62.1798;0;25;0;0;39.2798;0;29;0;0;36.5798;0;28;0;0;0;0;22;0
328;Pompeii;Italy;North Africa;21.2866;62.1798;34.23394736;25;1.369357894;10.4866;39.2798;26.69718278;29;0.92059251;9.2366;36.5798;25.25054812;28;0.90180529;0;0;0;22;0
329;Pompeii;Italy;Iberian Peninsula;4.5466;62.1798;7.312020946;25;0.292480838;3.2966;39.2798;8.392608924;29;0.289400308;3.2966;36.5798;9.012077704;28;0.321859918;0;0;0;22;0
330;Pompeii;Italy;Aegean;0;62.1798;0;25;0;0;39.2798;0;29;0;0;36.5798;0;28;0;0;0;0;22;0
331;Pompeii;Italy;Western Mediterranean;0;62.1798;0;25;0;0;39.2798;0;29;0;0;36.5798;0;28;0;0;0;0;22;0
332;Pompeii;Italy;Eastern Mediterranean;14.7333;62.1798;23.69467255;25;0.947786902;5.7833;39.2798;14.72334381;29;0.507701511;5.1333;36.5798;14.03315491;28;0.501184104;0;0;0;22;0
333;Pompeii;Italy;unknown;21.6133;62.1798;34.75935915;25;1.390374366;19.7133;39.2798;50.1868645;29;1.730581534;18.9133;36.5798;51.70421927;28;1.84657926;0;0;0;22;0
334;Pompeii;Italy;Pontic Sea;0;62.1798;0;25;0;0;39.2798;0;29;0;0;36.5798;0;28;0;0;0;0;22;0
335;Pompeii;Italy;Egypt;0;62.1798;0;25;0;0;39.2798;0;29;0;0;36.5798;0;28;0;0;0;0;22;0
336;Pompeii;Italy;Gallia;0;62.1798;0;25;0;0;39.2798;0;29;0;0;36.5798;0;28;0;0;0;0;22;0
337;Pompeii;Italy;Adria;0;62.1798;0;25;0;0;39.2798;0;29;0;0;36.5798;0;28;0;0;0;0;22;0
339;Rome;Italy;Baetica;0;0;0;25;0;0;0;0;29;0;0;3043;0;28;0;0;626;0;22;0
340;Rome;Italy;Tarraconensis;0;0;0;25;0;0;0;0;29;0;100;3043;3.286230693;28;0.117365382;13.8;626;2.204472843;22;0.100203311
341;Rome;Italy;North Africa;0;0;0;25;0;0;0;0;29;0;243;3043;7.985540585;28;0.285197878;145.6;626;23.25878594;22;1.057217543
342;Rome;Italy;Iberian Peninsula;0;0;0;25;0;0;0;0;29;0;1115;3043;36.64147223;28;1.308624008;234.6;626;37.47603834;22;1.703456288
343;Rome;Italy;Aegean;0;0;0;25;0;0;0;0;29;0;862;3043;28.32730858;28;1.011689592;126.6;626;20.22364217;22;0.919256462
344;Rome;Italy;Western Mediterranean;0;0;0;25;0;0;0;0;29;0;0;3043;0;28;0;0;626;0;22;0
345;Rome;Italy;Eastern Mediterranean;0;0;0;25;0;0;0;0;29;0;148;3043;4.863621426;28;0.173700765;9.8;626;1.565495208;22;0.071158873
346;Rome;Italy;unknown;0;0;0;25;0;0;0;0;29;0;288;3043;9.464344397;28;0.3380123;9.4;626;1.501597444;22;0.068254429
347;Rome;Italy;Pontic Sea;0;0;0;25;0;0;0;0;29;0;0;3043;0;28;0;0;626;0;22;0
348;Rome;Italy;Egypt;0;0;0;25;0;0;0;0;29;0;9;3043;0.295760762;28;0.010562884;1.8;626;0.287539936;22;0.013069997
349;Rome;Italy;Gallia;0;0;0;25;0;0;0;0;29;0;278;3043;9.135721328;28;0.326275762;84.4;626;13.48242812;22;0.612837642
350;Rome;Italy;Adria;0;0;0;25;0;0;0;0;29;0;0;3043;0;28;0;0;626;0;22;0
352;Settefinestre;Italy;Baetica;0;75.3331;0;25;0;0;26.3331;0;29;0;0;26.3331;0;28;0;0;145.9999;0;22;0
353;Settefinestre;Italy;Tarraconensis;0;75.3331;0;25;0;0;26.3331;0;29;0;0;26.3331;0;28;0;0;145.9999;0;22;0
354;Settefinestre;Italy;North Africa;2.6666;75.3331;3.539745477;25;0.141589819;2.6666;26.3331;10.12641884;29;0.349186857;2.6666;26.3331;10.12641884;28;0.361657816;4;145.9999;2.739727904;22;0.124533087
355;Settefinestre;Italy;Iberian Peninsula;0.6666;75.3331;0.884869997;25;0.0353948;0.6666;26.3331;2.531414835;29;0.087290167;0.6666;26.3331;2.531414835;28;0.090407673;33.9999;145.9999;23.28761869;22;1.058528122
356;Settefinestre;Italy;Aegean;1.6666;75.3331;2.212307737;25;0.088492309;0.6666;26.3331;2.531414835;29;0.087290167;0.6666;26.3331;2.531414835;28;0.090407673;2;145.9999;1.369863952;22;0.062266543
357;Settefinestre;Italy;Western Mediterranean;0;75.3331;0;25;0;0;26.3331;0;29;0;0;26.3331;0;28;0;0;145.9999;0;22;0
