ID;site;region;origin;frequency_A;total_A;percentage_site_A;sites_A;percentage_in_all_A;frequency_B;total_B;percentage_site_B;sites_B;percentage_in_all_B;frequency_C;total_C;percentage_site_C;sites_C;percentage_in_all_C;frequency_D;total_D;percentage_site_D;sites_D;percentage_in_all_D
335;Pompeii;Italy;Egypt;0;106.3264;0;26;0;0;59.9264;0;29;0;0;52.2764;0;29;0;0;0;0;22;0
336;Pompeii;Italy;Gallia;0;106.3264;0;26;0;0;59.9264;0;29;0;0;52.2764;0;29;0;0;0;0;22;0
337;Pompeii;Italy;Adria;0;106.3264;0;26;0;0;59.9264;0;29;0;0;52.2764;0;29;0;0;0;0;22;0
338;Rome;Italy;Italy;0;0;0;26;0;0;0;0;29;0;1680;4723;35.5706119;29;1.226572824;233.8;859.8;27.19237032;22;1.236016833
339;Rome;Italy;Baetica;0;0;0;26;0;0;0;0;29;0;0;4723;0;29;0;0;859.8;0;22;0
340;Rome;Italy;Tarraconensis;0;0;0;26;0;0;0;0;29;0;100;4723;2.117298327;29;0.073010287;13.8;859.8;1.605024424;22;0.072955656
341;Rome;Italy;North Africa;0;0;0;26;0;0;0;0;29;0;243;4723;5.145034935;29;0.177414998;145.6;859.8;16.93417074;22;0.769735034
342;Rome;Italy;Iberian Peninsula;0;0;0;26;0;0;0;0;29;0;1115;4723;23.60787635;29;0.814064702;234.6;859.8;27.28541521;22;1.240246146
343;Rome;Italy;Aegean;0;0;0;26;0;0;0;0;29;0;862;4723;18.25111158;29;0.629348675;126.6;859.8;14.7243545;22;0.669288841
344;Rome;Italy;Western Mediterranean;0;0;0;26;0;0;0;0;29;0;0;4723;0;29;0;0;859.8;0;22;0
345;Rome;Italy;Eastern Mediterranean;0;0;0;26;0;0;0;0;29;0;148;4723;3.133601524;29;0.108055225;9.8;859.8;1.139799953;22;0.051809089
346;Rome;Italy;unknown;0;0;0;26;0;0;0;0;29;0;288;4723;6.097819183;29;0.210269627;9.4;859.8;1.093277506;22;0.049694432
347;Rome;Italy;Pontic Sea;0;0;0;26;0;0;0;0;29;0;0;4723;0;29;0;0;859.8;0;22;0
348;Rome;Italy;Egypt;0;0;0;26;0;0;0;0;29;0;9;4723;0.190556849;29;0.006570926;1.8;859.8;0.209351012;22;0.009515955
349;Rome;Italy;Gallia;0;0;0;26;0;0;0;0;29;0;278;4723;5.88608935;29;0.202968598;84.4;859.8;9.816236334;22;0.446192561
350;Rome;Italy;Adria;0;0;0;26;0;0;0;0;29;0;0;4723;0;29;0;0;859.8;0;22;0
351;Settefinestre;Italy;Italy;53.6666;119.9997;44.72227847;26;1.720087634;6.6666;32.9997;20.20200184;29;0.696620753;6.6666;32.9997;20.20200184;29;0.696620753;78;223.9999;34.82144412;22;1.582792914
352;Settefinestre;Italy;Baetica;0;119.9997;0;26;0;0;32.9997;0;29;0;0;32.9997;0;29;0;0;223.9999;0;22;0
353;Settefinestre;Italy;Tarraconensis;0;119.9997;0;26;0;0;32.9997;0;29;0;0;32.9997;0;29;0;0;223.9999;0;22;0
354;Settefinestre;Italy;North Africa;2.6666;119.9997;2.222172222;26;0.085468162;2.6666;32.9997;8.080679521;29;0.278644121;2.6666;32.9997;8.080679521;29;0.278644121;4;223.9999;1.785715083;22;0.081168867
