ID	Site_name	region	origin	frequency_A	total_A	percentage_in_site_A	sites_in_region_A	percentage_in_region_A	sites_A	percentage_all_A	frequency_B	total_B	percentage_site_B	sites_in_region_B	percentage_in_region_B	sites_B	percentage_in_all_B	frequency_C	total_C	percentage_site_C	sites_in_region_C	percentage_in_region_C	sites_C	percentage_all_C	frequency_D	total_D	percentage_site_D	sites_in_region_D	percentage_in_region_D	sites_D	percentage_all_D
139	Jerusalem	Eastern Mediterranean	Pontic Sea	0	10.075	0	5	0	29	0	0	32.575	0	6	0	35	0	0	22.5	0	5	0	33	0	0	0	0	4	0	24	0
140	Jerusalem	Eastern Mediterranean	Adria	0	10.075	0	5	0	29	0	0	32.575	0	6	0	35	0	0	22.5	0	5	0	33	0	0	0	0	4	0	24	0
141	Jerusalem	Eastern Mediterranean	Egypt	0	10.075	0	5	0	29	0	0	32.575	0	6	0	35	0	0	22.5	0	5	0	33	0	0	0	0	4	0	24	0
142	Jerusalem	Eastern Mediterranean	Iberian Peninsula	0	10.075	0	5	0	29	0	0	32.575	0	6	0	35	0	0	22.5	0	5	0	33	0	0	0	0	4	0	24	0
143	Panayia Ematousa	Eastern Mediterranean	Italy	4.5	90.5	4.972375691	5	0.994475138	29	0.171461231	4.5	146.5	3.071672355	6	0.511945393	35	0.087762067	0	131	0	5	0	33	0	0	48	0	4	0	24	0
144	Panayia Ematousa	Eastern Mediterranean	Gallia	0	90.5	0	5	0	29	0	0	146.5	0	6	0	35	0	0	131	0	5	0	33	0	0	48	0	4	0	24	0
145	Panayia Ematousa	Eastern Mediterranean	Eastern Mediterranean	86	90.5	95.02762431	5	19.00552486	29	3.276814631	142	146.5	96.92832765	6	16.15472128	35	2.76938079	131	131	100	5	20	33	3.03030303	12	48	25	4	6.25	24	1.041666667
146	Panayia Ematousa	Eastern Mediterranean	North Africa	0	90.5	0	5	0	29	0	0	146.5	0	6	0	35	0	0	131	0	5	0	33	0	0	48	0	4	0	24	0
147	Panayia Ematousa	Eastern Mediterranean	unknown	0	90.5	0	5	0	29	0	0	146.5	0	6	0	35	0	0	131	0	5	0	33	0	36	48	75	4	18.75	24	3.125
148	Panayia Ematousa	Eastern Mediterranean	Aegean	0	90.5	0	5	0	29	0	0	146.5	0	6	0	35	0	0	131	0	5	0	33	0	0	48	0	4	0	24	0
149	Panayia Ematousa	Eastern Mediterranean	Western Mediterranean	0	90.5	0	5	0	29	0	0	146.5	0	6	0	35	0	0	131	0	5	0	33	0	0	48	0	4	0	24	0
150	Panayia Ematousa	Eastern Mediterranean	Pontic Sea	0	90.5	0	5	0	29	0	0	146.5	0	6	0	35	0	0	131	0	5	0	33	0	0	48	0	4	0	24	0
151	Panayia Ematousa	Eastern Mediterranean	Adria	0	90.5	0	5	0	29	0	0	146.5	0	6	0	35	0	0	131	0	5	0	33	0	0	48	0	4	0	24	0
152	Panayia Ematousa	Eastern Mediterranean	Egypt	0	90.5	0	5	0	29	0	0	146.5	0	6	0	35	0	0	131	0	5	0	33	0	0	48	0	4	0	24	0
153	Panayia Ematousa	Eastern Mediterranean	Iberian Peninsula	0	90.5	0	5	0	29	0	0	146.5	0	6	0	35	0	0	131	0	5	0	33	0	0	48	0	4	0	24	0
154	Paphos	Eastern Mediterranean	Italy	15.5	168.083	9.22163455	5	1.84432691	29	0.317987398	9.5	74.7499	12.7090471	6	2.118174517	35	0.363115631	14	95.9166	14.59601362	5	2.919202724	33	0.442303443	24	98.6666	24.32434076	4	6.08108519	24	1.013514198
155	Paphos	Eastern Mediterranean	Gallia	0	168.083	0	5	0	29	0	0	74.7499	0	6	0	35	0	0	95.9166	0	5	0	33	0	0	98.6666	0	4	0	24	0
156	Paphos	Eastern Mediterranean	Eastern Mediterranean	137.333	168.083	81.70546694	5	16.34109339	29	2.817429895	51.9999	74.7499	69.56517668	6	11.59419611	35	1.987576476	47.6666	95.9166	49.69588163	5	9.939176326	33	1.505935807	51.6666	98.6666	52.36483268	4	13.09120817	24	2.181868028
157	Paphos	Eastern Mediterranean	North Africa	0	168.083	0	5	0	29	0	0	74.7499	0	6	0	35	0	0	95.9166	0	5	0	33	0	2	98.6666	2.027028397	4	0.506757099	24	0.084459517
158	Paphos	Eastern Mediterranean	unknown	15.25	168.083	9.072898508	5	1.814579702	29	0.312858569	8.25	74.7499	11.03680406	6	1.839467343	35	0.315337259	7.75	95.9166	8.079936111	5	1.615987222	33	0.244846549	10.5	98.6666	10.64189908	4	2.66047477	24	0.443412462
159	Paphos	Eastern Mediterranean	Aegean	0	168.083	0	5	0	29	0	5	74.7499	6.688972159	6	1.114828693	35	0.19111349	26.5	95.9166	27.62816864	5	5.525633728	33	0.837217231	10.5	98.6666	10.64189908	4	2.66047477	24	0.443412462
160	Paphos	Eastern Mediterranean	Western Mediterranean	0	168.083	0	5	0	29	0	0	74.7499	0	6	0	35	0	0	95.9166	0	5	0	33	0	0	98.6666	0	4	0	24	0
161	Paphos	Eastern Mediterranean	Pontic Sea	0	168.083	0	5	0	29	0	0	74.7499	0	6	0	35	0	0	95.9166	0	5	0	33	0	0	98.6666	0	4	0	24	0
162	Paphos	Eastern Mediterranean	Adria	0	168.083	0	5	0	29	0	0	74.7499	0	6	0	35	0	0	95.9166	0	5	0	33	0	0	98.6666	0	4	0	24	0
163	Paphos	Eastern Mediterranean	Egypt	0	168.083	0	5	0	29	0	0	74.7499	0	6	0	35	0	0	95.9166	0	5	0	33	0	0	98.6666	0	4	0	24	0
164	Paphos	Eastern Mediterranean	Iberian Peninsula	0	168.083	0	5	0	29	0	0	74.7499	0	6	0	35	0	0	95.9166	0	5	0	33	0	0	98.6666	0	4	0	24	0
165	Caesarea	Eastern Mediterranean	Italy	0.5	4.5	11.11111111	5	2.222222222	29	0.383141762	0.5	6.1666	8.108195764	6	1.351365961	35	0.231662736	0	1.6666	0	5	0	33	0	16	175.666	9.108193959	4	2.27704849	24	0.379508082
166	Caesarea	Eastern Mediterranean	Gallia	0	4.5	0	5	0	29	0	0	6.1666	0	6	0	35	0	0	1.6666	0	5	0	33	0	0	175.666	0	4	0	24	0
167	Caesarea	Eastern Mediterranean	Eastern Mediterranean	3.5	4.5	77.77777778	5	15.55555556	29	2.681992337	5.1666	6.1666	83.78360847	6	13.96393475	35	2.393817385	1.6666	1.6666	100	5	20	33	3.03030303	146.666	175.666	83.49139845	4	20.87284961	24	3.478808269
168	Caesarea	Eastern Mediterranean	North Africa	0	4.5	0	5	0	29	0	0	6.1666	0	6	0	35	0	0	1.6666	0	5	0	33	0	0	175.666	0	4	0	24	0
169	Caesarea	Eastern Mediterranean	unknown	0	4.5	0	5	0	29	0	0	6.1666	0	6	0	35	0	0	1.6666	0	5	0	33	0	12	175.666	6.831145469	4	1.707786367	24	0.284631061
170	Caesarea	Eastern Mediterranean	Aegean	0.5	4.5	11.11111111	5	2.222222222	29	0.383141762	0.5	6.1666	8.108195764	6	1.351365961	35	0.231662736	0	1.6666	0	5	0	33	0	1	175.666	0.569262122	4	0.142315531	24	0.023719255
171	Caesarea	Eastern Mediterranean	Western Mediterranean	0	4.5	0	5	0	29	0	0	6.1666	0	6	0	35	0	0	1.6666	0	5	0	33	0	0	175.666	0	4	0	24	0
172	Caesarea	Eastern Mediterranean	Pontic Sea	0	4.5	0	5	0	29	0	0	6.1666	0	6	0	35	0	0	1.6666	0	5	0	33	0	0	175.666	0	4	0	24	0
173	Caesarea	Eastern Mediterranean	Adria	0	4.5	0	5	0	29	0	0	6.1666	0	6	0	35	0	0	1.6666	0	5	0	33	0	0	175.666	0	4	0	24	0
174	Caesarea	Eastern Mediterranean	Egypt	0	4.5	0	5	0	29	0	0	6.1666	0	6	0	35	0	0	1.6666	0	5	0	33	0	0	175.666	0	4	0	24	0
175	Caesarea	Eastern Mediterranean	Iberian Peninsula	0	4.5	0	5	0	29	0	0	6.1666	0	6	0	35	0	0	1.6666	0	5	0	33	0	0	175.666	0	4	0	24	0
176	Berytus	Eastern Mediterranean	Italy	0	0	0	5	0	29	0	0	1	0	6	0	35	0	2	6.5	30.76923077	5	6.153846154	33	0.932400932	0	12	0	4	0	24	0
177	Berytus	Eastern Mediterranean	Gallia	0	0	0	5	0	29	0	0	1	0	6	0	35	0	0	6.5	0	5	0	33	0	0	12	0	4	0	24	0
178	Berytus	Eastern Mediterranean	Eastern Mediterranean	0	0	0	5	0	29	0	1	1	100	6	16.66666667	35	2.857142857	4.5	6.5	69.23076923	5	13.84615385	33	2.097902098	8	12	66.66666667	4	16.66666667	24	2.777777778
179	Berytus	Eastern Mediterranean	North Africa	0	0	0	5	0	29	0	0	1	0	6	0	35	0	0	6.5	0	5	0	33	0	0	12	0	4	0	24	0
180	Berytus	Eastern Mediterranean	unknown	0	0	0	5	0	29	0	0	1	0	6	0	35	0	0	6.5	0	5	0	33	0	4	12	33.33333333	4	8.333333333	24	1.388888889
181	Berytus	Eastern Mediterranean	Aegean	0	0	0	5	0	29	0	0	1	0	6	0	35	0	0	6.5	0	5	0	33	0	0	12	0	4	0	24	0
182	Berytus	Eastern Mediterranean	Western Mediterranean	0	0	0	5	0	29	0	0	1	0	6	0	35	0	0	6.5	0	5	0	33	0	0	12	0	4	0	24	0
183	Berytus	Eastern Mediterranean	Pontic Sea	0	0	0	5	0	29	0	0	1	0	6	0	35	0	0	6.5	0	5	0	33	0	0	12	0	4	0	24	0
184	Berytus	Eastern Mediterranean	Adria	0	0	0	5	0	29	0	0	1	0	6	0	35	0	0	6.5	0	5	0	33	0	0	12	0	4	0	24	0
185	Berytus	Eastern Mediterranean	Egypt	0	0	0	5	0	29	0	0	1	0	6	0	35	0	0	6.5	0	5	0	33	0	0	12	0	4	0	24	0
186	Berytus	Eastern Mediterranean	Iberian Peninsula	0	0	0	5	0	29	0	0	1	0	6	0	35	0	0	6.5	0	5	0	33	0	0	12	0	4	0	24	0
198	Alexandria	Egypt	Italy	1.5	18.25	8.219178082	2	4.109589041	29	0.283419934	1.5	18.25	8.219178082	2	4.109589041	35	0.234833659	1.5	18.25	8.219178082	2	4.109589041	33	0.249066002	0	0	0	1	0	24	0
199	Alexandria	Egypt	Gallia	0	18.25	0	2	0	29	0	0	18.25	0	2	0	35	0	0	18.25	0	2	0	33	0	0	0	0	1	0	24	0
200	Alexandria	Egypt	Eastern Mediterranean	13.5	18.25	73.97260274	2	36.98630137	29	2.550779405	13.5	18.25	73.97260274	2	36.98630137	35	2.113502935	13.5	18.25	73.97260274	2	36.98630137	33	2.241594022	0	0	0	1	0	24	0
201	Alexandria	Egypt	North Africa	0	18.25	0	2	0	29	0	0	18.25	0	2	0	35	0	0	18.25	0	2	0	33	0	0	0	0	1	0	24	0
202	Alexandria	Egypt	unknown	0	18.25	0	2	0	29	0	0	18.25	0	2	0	35	0	0	18.25	0	2	0	33	0	0	0	0	1	0	24	0
203	Alexandria	Egypt	Aegean	0.25	18.25	1.369863014	2	0.684931507	29	0.047236656	0.25	18.25	1.369863014	2	0.684931507	35	0.039138943	0.25	18.25	1.369863014	2	0.684931507	33	0.041511	0	0	0	1	0	24	0
204	Alexandria	Egypt	Western Mediterranean	0.25	18.25	1.369863014	2	0.684931507	29	0.047236656	0.25	18.25	1.369863014	2	0.684931507	35	0.039138943	0.25	18.25	1.369863014	2	0.684931507	33	0.041511	0	0	0	1	0	24	0
205	Alexandria	Egypt	Pontic Sea	0.5	18.25	2.739726027	2	1.369863014	29	0.094473311	0.5	18.25	2.739726027	2	1.369863014	35	0.078277886	0.5	18.25	2.739726027	2	1.369863014	33	0.083022001	0	0	0	1	0	24	0
206	Alexandria	Egypt	Adria	0	18.25	0	2	0	29	0	0	18.25	0	2	0	35	0	0	18.25	0	2	0	33	0	0	0	0	1	0	24	0
207	Alexandria	Egypt	Egypt	2.25	18.25	12.32876712	2	6.16438356	29	0.425129901	2.25	18.25	12.32876712	2	6.16438356	35	0.352250489	2.25	18.25	12.32876712	2	6.16438356	33	0.373599004	0	0	0	1	0	24	0
208	Alexandria	Egypt	Iberian Peninsula	0	18.25	0	2	0	29	0	0	18.25	0	2	0	35	0	0	18.25	0	2	0	33	0	0	0	0	1	0	24	0
209	Karanis	Egypt	Italy	0	6.35	0	2	0	29	0	0	4.9	0	2	0	35	0	0	7.82	0	2	0	33	0	0	7.65	0	1	0	24	0
210	Karanis	Egypt	Gallia	0	6.35	0	2	0	29	0	0	4.9	0	2	0	35	0	0	7.82	0	2	0	33	0	0	7.65	0	1	0	24	0
211	Karanis	Egypt	Eastern Mediterranean	0	6.35	0	2	0	29	0	0	4.9	0	2	0	35	0	0	7.82	0	2	0	33	0	0	7.65	0	1	0	24	0
212	Karanis	Egypt	North Africa	2.55	6.35	40.15748031	2	20.07874016	29	1.384740701	0.6	4.9	12.24489796	2	6.12244898	35	0.349854227	0.52	7.82	6.649616368	2	3.324808184	33	0.201503526	0.85	7.65	11.11111111	1	11.11111111	24	0.462962963
213	Karanis	Egypt	unknown	1.25	6.35	19.68503937	2	9.842519685	29	0.678794461	1.75	4.9	35.71428571	2	17.85714286	35	1.020408163	3.75	7.82	47.95396419	2	23.9769821	33	1.45315043	3.25	7.65	42.48366013	1	42.48366013	24	1.770152505
214	Karanis	Egypt	Aegean	0	6.35	0	2	0	29	0	0	4.9	0	2	0	35	0	0	7.82	0	2	0	33	0	0	7.65	0	1	0	24	0
215	Karanis	Egypt	Western Mediterranean	0	6.35	0	2	0	29	0	0	4.9	0	2	0	35	0	0	7.82	0	2	0	33	0	0	7.65	0	1	0	24	0
216	Karanis	Egypt	Pontic Sea	0	6.35	0	2	0	29	0	0	4.9	0	2	0	35	0	0	7.82	0	2	0	33	0	0	7.65	0	1	0	24	0
217	Karanis	Egypt	Adria	0	6.35	0	2	0	29	0	0	4.9	0	2	0	35	0	0	7.82	0	2	0	33	0	0	7.65	0	1	0	24	0
218	Karanis	Egypt	Egypt	2.55	6.35	40.15748031	2	20.07874016	29	1.384740701	2.55	4.9	52.04081633	2	26.02040817	35	1.486880466	3.55	7.82	45.39641944	2	22.69820972	33	1.375649074	3.55	7.65	46.40522876	1	46.40522876	24	1.933551198
219	Karanis	Egypt	Iberian Peninsula	0	6.35	0	2	0	29	0	0	4.9	0	2	0	35	0	0	7.82	0	2	0	33	0	0	7.65	0	1	0	24	0
220	La Nautique	Gallia	Italy	3	35	8.571428571	2	4.285714286	29	0.295566502	0	0	0	2	0	35	0	0	0	0	1	0	33	0	0	0	0	0	0	24	0
221	La Nautique	Gallia	Gallia	0	35	0	2	0	29	0	0	0	0	2	0	35	0	0	0	0	1	0	33	0	0	0	0	0	0	24	0
222	La Nautique	Gallia	Eastern Mediterranean	0	35	0	2	0	29	0	0	0	0	2	0	35	0	0	0	0	1	0	33	0	0	0	0	0	0	24	0
223	La Nautique	Gallia	North Africa	0	35	0	2	0	29	0	0	0	0	2	0	35	0	0	0	0	1	0	33	0	0	0	0	0	0	24	0
224	La Nautique	Gallia	unknown	26	35	74.28571429	2	37.14285715	29	2.561576355	0	0	0	2	0	35	0	0	0	0	1	0	33	0	0	0	0	0	0	24	0
225	La Nautique	Gallia	Aegean	0	35	0	2	0	29	0	0	0	0	2	0	35	0	0	0	0	1	0	33	0	0	0	0	0	0	24	0
226	La Nautique	Gallia	Western Mediterranean	6	35	17.14285714	2	8.57142857	29	0.591133005	0	0	0	2	0	35	0	0	0	0	1	0	33	0	0	0	0	0	0	24	0
227	La Nautique	Gallia	Pontic Sea	0	35	0	2	0	29	0	0	0	0	2	0	35	0	0	0	0	1	0	33	0	0	0	0	0	0	24	0
228	La Nautique	Gallia	Adria	0	35	0	2	0	29	0	0	0	0	2	0	35	0	0	0	0	1	0	33	0	0	0	0	0	0	24	0
229	La Nautique	Gallia	Egypt	0	35	0	2	0	29	0	0	0	0	2	0	35	0	0	0	0	1	0	33	0	0	0	0	0	0	24	0
230	La Nautique	Gallia	Iberian Peninsula	0	35	0	2	0	29	0	0	0	0	2	0	35	0	0	0	0	1	0	33	0	0	0	0	0	0	24	0
231	Lyon	Gallia	Italy	0	0	0	2	0	29	0	4	43	9.302325581	2	4.651162791	35	0.265780731	0	0	0	1	0	33	0	0	0	0	0	0	24	0
232	Lyon	Gallia	Gallia	0	0	0	2	0	29	0	39	43	90.69767442	2	45.34883721	35	2.591362126	0	0	0	1	0	33	0	0	0	0	0	0	24	0
233	Lyon	Gallia	Eastern Mediterranean	0	0	0	2	0	29	0	0	43	0	2	0	35	0	0	0	0	1	0	33	0	0	0	0	0	0	24	0
234	Lyon	Gallia	North Africa	0	0	0	2	0	29	0	0	43	0	2	0	35	0	0	0	0	1	0	33	0	0	0	0	0	0	24	0
235	Lyon	Gallia	unknown	0	0	0	2	0	29	0	0	43	0	2	0	35	0	0	0	0	1	0	33	0	0	0	0	0	0	24	0
236	Lyon	Gallia	Aegean	0	0	0	2	0	29	0	0	43	0	2	0	35	0	0	0	0	1	0	33	0	0	0	0	0	0	24	0
237	Lyon	Gallia	Western Mediterranean	0	0	0	2	0	29	0	0	43	0	2	0	35	0	0	0	0	1	0	33	0	0	0	0	0	0	24	0
238	Lyon	Gallia	Pontic Sea	0	0	0	2	0	29	0	0	43	0	2	0	35	0	0	0	0	1	0	33	0	0	0	0	0	0	24	0
239	Lyon	Gallia	Adria	0	0	0	2	0	29	0	0	43	0	2	0	35	0	0	0	0	1	0	33	0	0	0	0	0	0	24	0
240	Lyon	Gallia	Egypt	0	0	0	2	0	29	0	0	43	0	2	0	35	0	0	0	0	1	0	33	0	0	0	0	0	0	24	0
241	Lyon	Gallia	Iberian Peninsula	0	0	0	2	0	29	0	0	43	0	2	0	35	0	0	0	0	1	0	33	0	0	0	0	0	0	24	0
242	Narbonne	Gallia	Italy	275.8	575.7	47.90689595	2	23.95344798	29	1.651961929	18	84.5	21.30177515	2	10.65088758	35	0.608622147	1	5.5	18.18181818	1	18.18181818	33	0.550964187	0	0	0	0	0	24	0
243	Narbonne	Gallia	Gallia	81.3	575.7	14.12193851	2	7.060969255	29	0.486963397	55	84.5	65.0887574	2	32.5443787	35	1.859678783	2	5.5	36.36363636	1	36.36363636	33	1.101928375	0	0	0	0	0	24	0
244	Narbonne	Gallia	Eastern Mediterranean	0	575.7	0	2	0	29	0	0	84.5	0	2	0	35	0	0	5.5	0	1	0	33	0	0	0	0	0	0	24	0
245	Narbonne	Gallia	North Africa	0	575.7	0	2	0	29	0	0	84.5	0	2	0	35	0	0	5.5	0	1	0	33	0	0	0	0	0	0	24	0
246	Narbonne	Gallia	unknown	122.4	575.7	21.26107348	2	10.63053674	29	0.733140465	10	84.5	11.83431953	2	5.917159765	35	0.338123415	2.5	5.5	45.45454545	1	45.45454545	33	1.377410468	0	0	0	0	0	24	0
247	Narbonne	Gallia	Aegean	0	575.7	0	2	0	29	0	0	84.5	0	2	0	35	0	0	5.5	0	1	0	33	0	0	0	0	0	0	24	0
248	Narbonne	Gallia	Western Mediterranean	95.6	575.7	16.60587111	2	8.302935555	29	0.572616245	1.5	84.5	1.775147929	2	0.887573965	35	0.050718512	0	5.5	0	1	0	33	0	0	0	0	0	0	24	0
249	Narbonne	Gallia	Pontic Sea	0	575.7	0	2	0	29	0	0	84.5	0	2	0	35	0	0	5.5	0	1	0	33	0	0	0	0	0	0	24	0
250	Narbonne	Gallia	Adria	0	575.7	0	2	0	29	0	0	84.5	0	2	0	35	0	0	5.5	0	1	0	33	0	0	0	0	0	0	24	0
251	Narbonne	Gallia	Egypt	0	575.7	0	2	0	29	0	0	84.5	0	2	0	35	0	0	5.5	0	1	0	33	0	0	0	0	0	0	24	0
252	Narbonne	Gallia	Iberian Peninsula	0.6	575.7	0.104220948	2	0.052110474	29	0.003593826	0	84.5	0	2	0	35	0	0	5.5	0	1	0	33	0	0	0	0	0	0	24	0
253	Albintimilium	Italy	Italy	95.91665	113.3333	84.63236313	6	14.10539386	29	2.918357349	73.6666	147.8332	49.83089049	8	6.228861311	35	1.423739728	70.6666	191.58326	36.88558176	8	4.61069772	33	1.117744902	3.05	12.3	24.79674797	5	4.959349594	24	1.033197832
254	Albintimilium	Italy	Gallia	11.41665	113.3333	10.07351767	6	1.678919612	29	0.347362678	63.6666	147.8332	43.06651009	8	5.383313761	35	1.230471717	100.81666	191.58326	52.62289618	8	6.577862023	33	1.594633217	1.65	12.3	13.41463415	5	2.68292683	24	0.558943089
255	Albintimilium	Italy	Eastern Mediterranean	0	113.3333	0	6	0	29	0	0	147.8332	0	8	0	35	0	0	191.58326	0	8	0	33	0	0	12.3	0	5	0	24	0
256	Albintimilium	Italy	North Africa	0	113.3333	0	6	0	29	0	3.5	147.8332	2.367533139	8	0.295941642	35	0.067643804	13.2	191.58326	6.88995479	8	0.861244349	33	0.208786509	6.7	12.3	54.47154472	5	10.89430894	24	2.269647696
257	Albintimilium	Italy	unknown	3	113.3333	2.647059602	6	0.4411766	29	0.091277917	5	147.8332	3.382190198	8	0.422773775	35	0.096634006	5.9	191.58326	3.079601005	8	0.384950126	33	0.093321243	0.9	12.3	7.317073171	5	1.463414634	24	0.304878049
258	Albintimilium	Italy	Aegean	0	113.3333	0	6	0	29	0	0	147.8332	0	8	0	35	0	0	191.58326	0	8	0	33	0	0	12.3	0	5	0	24	0
259	Albintimilium	Italy	Western Mediterranean	0	113.3333	0	6	0	29	0	0	147.8332	0	8	0	35	0	0	191.58326	0	8	0	33	0	0	12.3	0	5	0	24	0
260	Albintimilium	Italy	Pontic Sea	0	113.3333	0	6	0	29	0	0	147.8332	0	8	0	35	0	0	191.58326	0	8	0	33	0	0	12.3	0	5	0	24	0
261	Albintimilium	Italy	Adria	0	113.3333	0	6	0	29	0	0	147.8332	0	8	0	35	0	0	191.58326	0	8	0	33	0	0	12.3	0	5	0	24	0
262	Albintimilium	Italy	Egypt	0	113.3333	0	6	0	29	0	0	147.8332	0	8	0	35	0	0	191.58326	0	8	0	33	0	0	12.3	0	5	0	24	0
263	Albintimilium	Italy	Iberian Peninsula	3	113.3333	2.647059602	6	0.4411766	29	0.091277917	2	147.8332	1.352876079	8	0.16910951	35	0.038653602	1	191.58326	0.521966272	8	0.065245784	33	0.01581716	0	12.3	0	5	0	24	0
264	Metaponto	Italy	Italy	0	0	0	6	0	29	0	55.5	179.5	30.91922006	8	3.864902508	35	0.883406287	55.5	179.5	30.91922006	8	3.864902508	33	0.936946062	0	0	0	5	0	24	0
265	Metaponto	Italy	Gallia	0	0	0	6	0	29	0	0.5	179.5	0.278551532	8	0.034818942	35	0.007958615	0.5	179.5	0.278551532	8	0.034818942	33	0.008440956	0	0	0	5	0	24	0
266	Metaponto	Italy	Eastern Mediterranean	0	0	0	6	0	29	0	7	179.5	3.899721448	8	0.487465181	35	0.111420613	7	179.5	3.899721448	8	0.487465181	33	0.118173377	0	0	0	5	0	24	0
267	Metaponto	Italy	North Africa	0	0	0	6	0	29	0	79	179.5	44.01114206	8	5.501392758	35	1.257461202	79	179.5	44.01114206	8	5.501392758	33	1.333670972	0	0	0	5	0	24	0
268	Metaponto	Italy	unknown	0	0	0	6	0	29	0	0	179.5	0	8	0	35	0	0	179.5	0	8	0	33	0	0	0	0	5	0	24	0
269	Metaponto	Italy	Aegean	0	0	0	6	0	29	0	4.5	179.5	2.506963788	8	0.313370474	35	0.071627537	4.5	179.5	2.506963788	8	0.313370474	33	0.0759686	0	0	0	5	0	24	0
270	Metaponto	Italy	Western Mediterranean	0	0	0	6	0	29	0	33	179.5	18.38440111	8	2.298050139	35	0.525268603	33	179.5	18.38440111	8	2.298050139	33	0.557103064	0	0	0	5	0	24	0
271	Metaponto	Italy	Pontic Sea	0	0	0	6	0	29	0	0	179.5	0	8	0	35	0	0	179.5	0	8	0	33	0	0	0	0	5	0	24	0
272	Metaponto	Italy	Adria	0	0	0	6	0	29	0	0	179.5	0	8	0	35	0	0	179.5	0	8	0	33	0	0	0	0	5	0	24	0
273	Metaponto	Italy	Egypt	0	0	0	6	0	29	0	0	179.5	0	8	0	35	0	0	179.5	0	8	0	33	0	0	0	0	5	0	24	0
274	Metaponto	Italy	Iberian Peninsula	0	0	0	6	0	29	0	0	179.5	0	8	0	35	0	0	179.5	0	8	0	33	0	0	0	0	5	0	24	0
275	Monte Iato	Italy	Italy	1.5	1.5	100	6	16.66666667	29	3.448275862	168	222.5	75.50561798	8	9.438202248	35	2.157303371	40	71.5	55.94405594	8	6.993006993	33	1.695274423	0	0	0	5	0	24	0
276	Monte Iato	Italy	Gallia	0	1.5	0	6	0	29	0	0	222.5	0	8	0	35	0	0	71.5	0	8	0	33	0	0	0	0	5	0	24	0
277	Monte Iato	Italy	Eastern Mediterranean	0	1.5	0	6	0	29	0	0	222.5	0	8	0	35	0	0	71.5	0	8	0	33	0	0	0	0	5	0	24	0
278	Monte Iato	Italy	North Africa	0	1.5	0	6	0	29	0	0	222.5	0	8	0	35	0	0	71.5	0	8	0	33	0	0	0	0	5	0	24	0
279	Monte Iato	Italy	unknown	0	1.5	0	6	0	29	0	12	222.5	5.393258427	8	0.674157303	35	0.154093098	9	71.5	12.58741259	8	1.573426574	33	0.381436745	0	0	0	5	0	24	0
280	Monte Iato	Italy	Aegean	0	1.5	0	6	0	29	0	0	222.5	0	8	0	35	0	0	71.5	0	8	0	33	0	0	0	0	5	0	24	0
281	Monte Iato	Italy	Western Mediterranean	0	1.5	0	6	0	29	0	42.5	222.5	19.1011236	8	2.38764045	35	0.545746388	22.5	71.5	31.46853147	8	3.933566434	33	0.953591863	0	0	0	5	0	24	0
282	Monte Iato	Italy	Pontic Sea	0	1.5	0	6	0	29	0	0	222.5	0	8	0	35	0	0	71.5	0	8	0	33	0	0	0	0	5	0	24	0
283	Monte Iato	Italy	Adria	0	1.5	0	6	0	29	0	0	222.5	0	8	0	35	0	0	71.5	0	8	0	33	0	0	0	0	5	0	24	0
284	Monte Iato	Italy	Egypt	0	1.5	0	6	0	29	0	0	222.5	0	8	0	35	0	0	71.5	0	8	0	33	0	0	0	0	5	0	24	0
285	Monte Iato	Italy	Iberian Peninsula	0	1.5	0	6	0	29	0	0	222.5	0	8	0	35	0	0	71.5	0	8	0	33	0	0	0	0	5	0	24	0
286	Morgantina	Italy	Italy	320	418	76.55502392	6	12.75917065	29	2.639828411	344	436	78.89908257	8	9.862385321	35	2.254259502	0	0	0	8	0	33	0	0	0	0	5	0	24	0
287	Morgantina	Italy	Gallia	0	418	0	6	0	29	0	0	436	0	8	0	35	0	0	0	0	8	0	33	0	0	0	0	5	0	24	0
288	Morgantina	Italy	Eastern Mediterranean	18	418	4.306220096	6	0.717703349	29	0.148490348	48	436	11.00917431	8	1.376146789	35	0.314547837	0	0	0	8	0	33	0	0	0	0	5	0	24	0
289	Morgantina	Italy	North Africa	0	418	0	6	0	29	0	0	436	0	8	0	35	0	0	0	0	8	0	33	0	0	0	0	5	0	24	0
290	Morgantina	Italy	unknown	14	418	3.349282297	6	0.558213716	29	0.115492493	7	436	1.605504587	8	0.200688073	35	0.04587156	0	0	0	8	0	33	0	0	0	0	5	0	24	0
291	Morgantina	Italy	Aegean	9	418	2.153110048	6	0.358851675	29	0.074245174	1	436	0.229357798	8	0.028669725	35	0.00655308	0	0	0	8	0	33	0	0	0	0	5	0	24	0
292	Morgantina	Italy	Western Mediterranean	57	418	13.63636364	6	2.272727273	29	0.470219436	36	436	8.256880734	8	1.032110092	35	0.235910878	0	0	0	8	0	33	0	0	0	0	5	0	24	0
293	Morgantina	Italy	Pontic Sea	0	418	0	6	0	29	0	0	436	0	8	0	35	0	0	0	0	8	0	33	0	0	0	0	5	0	24	0
294	Morgantina	Italy	Adria	0	418	0	6	0	29	0	0	436	0	8	0	35	0	0	0	0	8	0	33	0	0	0	0	5	0	24	0
295	Morgantina	Italy	Egypt	0	418	0	6	0	29	0	0	436	0	8	0	35	0	0	0	0	8	0	33	0	0	0	0	5	0	24	0
